=== EasyOCR 인식 결과 - 2025-04-04 15:06:39 ===



=== 이미지: IMG_OCR_6_F_0000311.png ===
ID 1: JSON=하동규, EasyOCR=하 동
ID 6: JSON=당암리, EasyOCR=당압리
ID 7: JSON=90, EasyOCR=
ID 8: JSON=주성청모병원, EasyOCR=주성청모 병원
ID 9: JSON=4557.7.28, EasyOCR=4557 , 7 28
ID 10: JSON=치수결석, EasyOCR=치수 결석
ID 11: JSON=5434.12.3, EasyOCR=5413 4  12 . 3
ID 12: JSON=917, EasyOCR=9/
ID 13: JSON=2463.1.4, EasyOCR=2 463 / .
ID 14: JSON=4665.7.6, EasyOCR=4665 7 6
ID 15: JSON=5221, EasyOCR=522
ID 16: JSON=9, EasyOCR=
ID 17: JSON=23, EasyOCR=22
ID 18: JSON=주지석, EasyOCR=주지석


=== 이미지: IMG_OCR_6_F_0002514.png ===
ID 1: JSON=5885416898197, EasyOCR=588 (41 6 498/97
ID 2: JSON=필석현, EasyOCR=필석현
ID 3: JSON=6670.3.16, EasyOCR=6670 , 3,16
ID 4: JSON=시민, EasyOCR=시 인
ID 5: JSON=080817-03-201796, EasyOCR=0 888 17 - 07 - 20/796
ID 6: JSON=776-4060-5833, EasyOCR=0n 6 Lobo- 5833
ID 7: JSON=증조모, EasyOCR=주 조 뭐
ID 8: JSON=아민수, EasyOCR=아민수
ID 9: JSON=767-0083-3105, EasyOCR=7 6/ 0083 3/0f
ID 10: JSON=6108, EasyOCR=610
ID 11: JSON=5, EasyOCR=5
ID 12: JSON=25, EasyOCR=15
ID 13: JSON=음윤설, EasyOCR=음유설
ID 14: JSON=로로은, EasyOCR=크글은


=== 이미지: IMG_OCR_6_F_0002711.png ===
ID 1: JSON=예보겸, EasyOCR=01(오
ID 2: JSON=423858-1798974, EasyOCR=나 23 용 5 온 I7*8 > 74
ID 3: JSON=321-9700-3271, EasyOCR=9736 33 7 22(
ID 4: JSON=충청북도, EasyOCR=춤 청묵도
ID 5: JSON=광양시, EasyOCR=광 양시
ID 6: JSON=강상면, EasyOCR=7 상면
ID 7: JSON=13, EasyOCR=
ID 8: JSON=이장비인후과의원, EasyOCR=이 ~56 ( 인후과의원
ID 9: JSON=7713.11.12, EasyOCR=7777/3 11. 12
ID 10: JSON=오우렌병, EasyOCR=오무런
ID 11: JSON=1198.3.10, EasyOCR=1 ( 9 & 3.10
ID 12: JSON=723, EasyOCR=1723
ID 13: JSON=3992.2.22, EasyOCR=39 9 2: 2 22
ID 14: JSON=3849.8.6, EasyOCR=3 & 나 9 . j
ID 15: JSON=7195, EasyOCR=17(91
ID 16: JSON=9, EasyOCR=
ID 17: JSON=9, EasyOCR=
ID 18: JSON=서희서, EasyOCR=서의 서


=== 이미지: IMG_OCR_6_F_0002811.png ===
ID 1: JSON=범혜원, EasyOCR=범 혜원
ID 2: JSON=174325-8602670, EasyOCR=(743 -5-8007 b70
ID 3: JSON=400-7678-3054, EasyOCR=4o0 -7678 -5054
ID 4: JSON=대구광역시, EasyOCR=대구 강역시
ID 5: JSON=의왕시, EasyOCR=의왕 시
ID 6: JSON=위라리, EasyOCR=위라리
ID 7: JSON=303, EasyOCR=505
ID 8: JSON=한스더메디의원, EasyOCR=한스 더 메디의원
ID 9: JSON=6311.1.31, EasyOCR=03 1 | . 151
ID 10: JSON=무공공장, EasyOCR=무궁공장
ID 11: JSON=4169.1.12, EasyOCR=4169 (.17
ID 12: JSON=124, EasyOCR=[24
ID 13: JSON=2443.3.23, EasyOCR=7나45 3.7
ID 14: JSON=0739.9.22, EasyOCR=07 39 ZX
ID 15: JSON=8734, EasyOCR=8754
ID 16: JSON=12, EasyOCR=1Z
ID 17: JSON=3, EasyOCR=5
ID 18: JSON=인소현, EasyOCR=인소현


=== 이미지: IMG_OCR_6_F_0003614.png ===
ID 1: JSON=4617571889610, EasyOCR=46145시1 8896 /0
ID 2: JSON=상해보럼, EasyOCR=상해 보험
ID 3: JSON=황보유진, EasyOCR=항교유 진
ID 4: JSON=6679.6.24, EasyOCR=6699. 6 '24
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=023036-33-047010, EasyOCR=623036-33 -6470/0
ID 7: JSON=223-8462-9340, EasyOCR=223 ~8462 -9340
ID 8: JSON=증조모, EasyOCR=종조
ID 9: JSON=선예준, EasyOCR=선예준
ID 10: JSON=274-9844-0268, EasyOCR=274-98u4-6268
ID 11: JSON=5141, EasyOCR=5 1 41
ID 12: JSON=3, EasyOCR=
ID 13: JSON=13, EasyOCR=13
ID 14: JSON=석준서, EasyOCR=석 준서
ID 15: JSON=차동환, EasyOCR=차능환


=== 이미지: IMG_OCR_6_F_0004214.png ===
ID 1: JSON=9113510210906, EasyOCR=9 ((3510210966
ID 2: JSON=생명보험, EasyOCR=생명 보험
ID 3: JSON=궉진서, EasyOCR=각진심
ID 4: JSON=8905.6.7, EasyOCR=89o5 6,7
ID 5: JSON=두리, EasyOCR=누리
ID 6: JSON=777942-82-761885, EasyOCR=17f792 82 -761805
ID 7: JSON=725-4367-1722, EasyOCR=775 - 1367 -1 7722
ID 8: JSON=장모, EasyOCR=장모
ID 9: JSON=마서인, EasyOCR=b서인
ID 10: JSON=108-4465-0554, EasyOCR=(o8-0465-아f1다
ID 11: JSON=8163, EasyOCR=0(63
ID 12: JSON=11, EasyOCR=
ID 13: JSON=15, EasyOCR=
ID 14: JSON=성하경, EasyOCR=성하경
ID 15: JSON=국시호, EasyOCR=국디로


=== 이미지: IMG_OCR_6_F_0004411.png ===
ID 1: JSON=비진, EasyOCR=6진
ID 2: JSON=937109-5611867, EasyOCR=9371075611967
ID 3: JSON=913-8841-7717, EasyOCR=다1?-8841-7717
ID 4: JSON=광주광역시, EasyOCR=광주관역 시
ID 5: JSON=함안군, EasyOCR=남안군
ID 6: JSON=옥산면, EasyOCR=옷산면
ID 7: JSON=391, EasyOCR=1
ID 8: JSON=움새병원, EasyOCR=움새병원
ID 9: JSON=9374.6.8, EasyOCR=9394 6 8
ID 10: JSON=일광화상, EasyOCR=원장화상
ID 11: JSON=3657.4.14, EasyOCR=3657 414
ID 12: JSON=181, EasyOCR=182
ID 13: JSON=1182.10.22, EasyOCR=1182. 10.22
ID 14: JSON=5998.6.7, EasyOCR=5998.67
ID 15: JSON=8636, EasyOCR=8636
ID 16: JSON=6, EasyOCR=
ID 17: JSON=10, EasyOCR=10
ID 18: JSON=성가빈, EasyOCR=성가번


=== 이미지: IMG_OCR_6_F_0005114.png ===
ID 1: JSON=9268796624717, EasyOCR=92687966 2 47/
ID 2: JSON=요양보험, EasyOCR=요양 보 팀
ID 3: JSON=옹유정, EasyOCR=정
ID 4: JSON=8158.4.27, EasyOCR=8/58. 4. 2
ID 5: JSON=시민, EasyOCR=민
ID 6: JSON=553683-13-021796, EasyOCR=xA3683 - /3-02/796
ID 7: JSON=076-9589-5583, EasyOCR=0/76_ 989- 383
ID 8: JSON=고조모, EasyOCR=고 조모
ID 9: JSON=남재성, EasyOCR=남재 성
ID 10: JSON=671-0406-2027, EasyOCR=6r71- 0406- 2027
ID 11: JSON=5044, EasyOCR=5044
ID 12: JSON=7, EasyOCR=
ID 13: JSON=2, EasyOCR=
ID 14: JSON=로승환, EasyOCR=로승 환
ID 15: JSON=아로하, EasyOCR=아로하


=== 이미지: IMG_OCR_6_F_0005514.png ===
ID 1: JSON=5882993454342, EasyOCR=5 88299345 4342
ID 2: JSON=화재보험, EasyOCR=화재 금
ID 3: JSON=해준희, EasyOCR=해군흐
ID 4: JSON=4898.2.19, EasyOCR=4898.2. 19
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=005359-46-771486, EasyOCR=0 05 3 5 다-46-4시1 486
ID 7: JSON=760-1501-3086, EasyOCR=76 6 - I5이 3086
ID 8: JSON=장모, EasyOCR=강 모
ID 9: JSON=서문소율, EasyOCR=시문 소유
ID 10: JSON=430-8454-2961, EasyOCR=43 0 -8404-2961
ID 11: JSON=3406, EasyOCR=2 4 6
ID 12: JSON=5, EasyOCR=
ID 13: JSON=18, EasyOCR=8
ID 14: JSON=자기범, EasyOCR=자기


=== 이미지: IMG_OCR_6_F_0005614.png ===
ID 1: JSON=0862635459717, EasyOCR=0 8 6213545 97 17
ID 2: JSON=화재보험, EasyOCR=화재보
ID 3: JSON=시도형, EasyOCR=시도형
ID 4: JSON=2309.11.3, EasyOCR=230 % ((3
ID 5: JSON=강산, EasyOCR=강산
ID 6: JSON=915942-11-187917, EasyOCR=91 5942- 11 - 1879/7
ID 7: JSON=021-7336-9941, EasyOCR=0}17 33 f- 9941
ID 8: JSON=증조모, EasyOCR=증조모
ID 9: JSON=랑진성, EasyOCR=당진성
ID 10: JSON=580-7020-6042, EasyOCR=580-702 06 0 (2
ID 11: JSON=1457, EasyOCR=(457
ID 12: JSON=5, EasyOCR=5
ID 13: JSON=6, EasyOCR=
ID 14: JSON=설은준, EasyOCR=설은준
ID 15: JSON=허재호, EasyOCR=재


=== 이미지: IMG_OCR_6_F_0005711.png ===
ID 1: JSON=우태원, EasyOCR=우 대원
ID 2: JSON=990357-2888616, EasyOCR=9903 50-2888 61 6
ID 3: JSON=969-0755-8356, EasyOCR=469-0055- 8356
ID 4: JSON=광주광역시, EasyOCR=광수광여 시
ID 5: JSON=안동시, EasyOCR=안동시
ID 6: JSON=부사원리, EasyOCR=부사원리
ID 7: JSON=242, EasyOCR=수)
ID 8: JSON=림송이비인후과의원, EasyOCR=림송이비인후과의원
ID 9: JSON=4946.8.11, EasyOCR=4946. 0 ((
ID 10: JSON=저림, EasyOCR=7(리
ID 11: JSON=6868.7.11, EasyOCR=6 8 68. 0.(1
ID 12: JSON=418, EasyOCR=41 8
ID 13: JSON=6281.7.11, EasyOCR=6L8 | . 0. ((
ID 14: JSON=0688.7.7, EasyOCR=h.7 6 6 88.
ID 15: JSON=2960, EasyOCR=2960
ID 16: JSON=4, EasyOCR=
ID 17: JSON=4, EasyOCR=
ID 18: JSON=소해나, EasyOCR=소:나


=== 이미지: IMG_OCR_6_F_0006414.png ===
ID 1: JSON=2137824108057, EasyOCR=23)82410805)
ID 2: JSON=입원수술보험, EasyOCR=입원수물럼
ID 3: JSON=자미영, EasyOCR=자미
ID 4: JSON=6909.5.6, EasyOCR=6909, 5. 6
ID 5: JSON=무궁, EasyOCR=무습
ID 6: JSON=534255-47-601123, EasyOCR=534265- 4) - 66/123
ID 7: JSON=426-9583-8902, EasyOCR=426 -9603- 062
ID 8: JSON=부, EasyOCR=
ID 9: JSON=국도윤, EasyOCR=규소략
ID 10: JSON=662-8215-6535, EasyOCR=662-8215 633
ID 11: JSON=6559, EasyOCR=6559
ID 12: JSON=8, EasyOCR=
ID 13: JSON=14, EasyOCR=14
ID 14: JSON=감동현, EasyOCR=강 중현
ID 15: JSON=관예찬, EasyOCR=칸 예간


=== 이미지: IMG_OCR_6_F_0006614.png ===
ID 1: JSON=3080762170485, EasyOCR=308076 거? 0 485
ID 2: JSON=배상책임보험, EasyOCR=깨상 책임 v럼
ID 3: JSON=가라현, EasyOCR=가라현
ID 4: JSON=7375.7.11, EasyOCR=775 7, I1
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=176-3158-1641, EasyOCR=176 -지58 _ 16 L
ID 7: JSON=증조부, EasyOCR=증 조부
ID 8: JSON=라채빈, EasyOCR=라채민
ID 9: JSON=827-8980-0220, EasyOCR=85 -8980
ID 10: JSON=7996, EasyOCR=799 6
ID 11: JSON=11, EasyOCR=
ID 12: JSON=3, EasyOCR=3
ID 13: JSON=제수영, EasyOCR=
ID 14: JSON=순수하, EasyOCR=쇼 수하


=== 이미지: IMG_OCR_6_F_0006811.png ===
ID 1: JSON=등은규, EasyOCR=드 은 0
ID 2: JSON=777831-9840675, EasyOCR=777 831 -99 4o 675
ID 3: JSON=817-8985-4284, EasyOCR=81 7- 89 85- 4284
ID 4: JSON=부산광역시, EasyOCR=부산 광 역시
ID 5: JSON=통영시, EasyOCR=통 명 시
ID 6: JSON=광사리, EasyOCR=관 사리 0
ID 7: JSON=429, EasyOCR=429
ID 8: JSON=정이두진병원, EasyOCR=정0 두진병원
ID 9: JSON=0841.2.11, EasyOCR=0 84 | , 2
ID 10: JSON=항문연축, EasyOCR=항문 연 축
ID 11: JSON=7260.2.27, EasyOCR=726 0 2.27
ID 12: JSON=483, EasyOCR=48 3
ID 13: JSON=1594.1.9, EasyOCR=[t9 4 , 1.9
ID 14: JSON=2980.3.22, EasyOCR=29 80. 3 .22
ID 15: JSON=2455, EasyOCR=2455
ID 16: JSON=11, EasyOCR=
ID 17: JSON=18, EasyOCR=[ 8
ID 18: JSON=노우준, EasyOCR=노우준


=== 이미지: IMG_OCR_6_F_0007214.png ===
ID 1: JSON=6859999957599, EasyOCR=6859999957599
ID 2: JSON=펫보험, EasyOCR=끗보런
ID 3: JSON=염준영, EasyOCR=여춘영
ID 4: JSON=8659.11.24, EasyOCR=8659 11,24
ID 5: JSON=시민, EasyOCR=시미
ID 6: JSON=023814-14-700001, EasyOCR=0 238 14- 14- 70060
ID 7: JSON=020-8755-1855, EasyOCR=020 - 8 755 /855
ID 8: JSON=시누이, EasyOCR=시누이
ID 9: JSON=구리나, EasyOCR=
ID 10: JSON=627-4513-4817, EasyOCR=627 4513-  48 17
ID 11: JSON=5755, EasyOCR=5755
ID 12: JSON=12, EasyOCR=12
ID 13: JSON=23, EasyOCR=23
ID 14: JSON=선정은, EasyOCR=선정은
ID 15: JSON=탄민혁, EasyOCR=단 만협


=== 이미지: IMG_OCR_6_F_0008014.png ===
ID 1: JSON=6274033889536, EasyOCR=62746 3 3 88953
ID 2: JSON=당뇨보험, EasyOCR=당뇨 보험
ID 3: JSON=차지용, EasyOCR=차지 요
ID 4: JSON=8217.8.30, EasyOCR=821t 8. 39
ID 5: JSON=두리, EasyOCR=두근
ID 6: JSON=578523-05-682178, EasyOCR=5778523-65 68리78
ID 7: JSON=453-1952-5653, EasyOCR=453- (952-5653
ID 8: JSON=자녀, EasyOCR=자녀
ID 9: JSON=목지홍, EasyOCR=목지통
ID 10: JSON=630-9973-4072, EasyOCR=636-99 173-46172
ID 11: JSON=8320, EasyOCR=320
ID 12: JSON=4, EasyOCR=
ID 13: JSON=27, EasyOCR=2
ID 14: JSON=독영호, EasyOCR=독영 호
ID 15: JSON=염아라, EasyOCR=연아라


=== 이미지: IMG_OCR_6_F_0008111.png ===
ID 1: JSON=어금혜림, EasyOCR=67 금 원권
ID 2: JSON=933850-3518659, EasyOCR=93 3850-35 (86 59
ID 3: JSON=691-3685-8772, EasyOCR=69 ( - 3685- 8h72
ID 4: JSON=대구광역시, EasyOCR=대구 광석시
ID 5: JSON=중랑구, EasyOCR=중량구
ID 6: JSON=안골동, EasyOCR=U 골동
ID 7: JSON=98, EasyOCR=은
ID 8: JSON=한스더메디의원, EasyOCR=한스더 ba디의원
ID 9: JSON=0969.1.15, EasyOCR=09 69. 1 . (5
ID 10: JSON=자궁염, EasyOCR=자궁염
ID 11: JSON=8758.12.20, EasyOCR=87 58 12 26
ID 12: JSON=950, EasyOCR=50
ID 13: JSON=3139.6.18, EasyOCR=3 39 6. (8
ID 14: JSON=8403.12.19, EasyOCR=8403 (그. (9
ID 15: JSON=1994, EasyOCR=1 994
ID 16: JSON=2, EasyOCR=
ID 17: JSON=4, EasyOCR=
ID 18: JSON=문기범, EasyOCR=문 기범


=== 이미지: IMG_OCR_6_F_0008514.png ===
ID 1: JSON=8506161137596, EasyOCR=056 6161) 37595
ID 2: JSON=보장성보험, EasyOCR=보장성  보험
ID 3: JSON=학이찬, EasyOCR=학이 찬
ID 4: JSON=3285.1.9, EasyOCR=32p5 1'9
ID 5: JSON=시민, EasyOCR=D
ID 6: JSON=123748-83-099123, EasyOCR=237 4P - 03- 099) 23
ID 7: JSON=523-0387-2811, EasyOCR=523- b3 87~ 20 /)
ID 8: JSON=부, EasyOCR=
ID 9: JSON=선성호, EasyOCR=선성초
ID 10: JSON=433-7382-3086, EasyOCR=433- '382- 3006
ID 11: JSON=5998, EasyOCR=599P
ID 12: JSON=4, EasyOCR=
ID 13: JSON=13, EasyOCR=13
ID 14: JSON=염나현, EasyOCR=하나련
ID 15: JSON=심경자, EasyOCR=심경자


=== 이미지: IMG_OCR_6_F_0010311.png ===
ID 1: JSON=전아린, EasyOCR=전아린
ID 2: JSON=375839-1789174, EasyOCR=375839 - 1789174
ID 3: JSON=101-7532-7495, EasyOCR=161-7532- 7495
ID 4: JSON=전라남도, EasyOCR=전라남도
ID 5: JSON=수원시, EasyOCR=수원시
ID 6: JSON=치평동, EasyOCR=치평 동
ID 7: JSON=920, EasyOCR=20
ID 8: JSON=하대인병원, EasyOCR=하대인 병원
ID 9: JSON=6891.6.18, EasyOCR=6891. 6. /8
ID 10: JSON=부간, EasyOCR=부간
ID 11: JSON=5431.5.8, EasyOCR=5431 . 5 8
ID 12: JSON=818, EasyOCR=8
ID 13: JSON=1453.6.29, EasyOCR=1453. 6  99
ID 14: JSON=2596.2.5, EasyOCR=2596 2.5
ID 15: JSON=0751, EasyOCR=075
ID 16: JSON=9, EasyOCR=
ID 17: JSON=31, EasyOCR=거
ID 18: JSON=독고서한, EasyOCR=독고 서한


=== 이미지: IMG_OCR_6_F_0010411.png ===
ID 1: JSON=탕태호, EasyOCR=탑태오
ID 2: JSON=976-0617-6557, EasyOCR=976 - 66(7-60(>
ID 3: JSON=경상북도, EasyOCR=경심부도
ID 4: JSON=달성군, EasyOCR=담성다
ID 5: JSON=지사동, EasyOCR=지사동
ID 6: JSON=415, EasyOCR=
ID 7: JSON=봄웰병원, EasyOCR=놈 웬 병원
ID 8: JSON=1219.1.3, EasyOCR=(L( 9 ( 3
ID 9: JSON=단기, EasyOCR=다?
ID 10: JSON=1549.11.7, EasyOCR=(5 49 
ID 11: JSON=641, EasyOCR=64
ID 12: JSON=5688.11.25, EasyOCR=56 88 - [( J
ID 13: JSON=7219.4.9, EasyOCR=22(9. 4-9
ID 14: JSON=9724, EasyOCR=9 D2
ID 15: JSON=12, EasyOCR=
ID 16: JSON=17, EasyOCR=
ID 17: JSON=황보윤재, EasyOCR=항보운재


=== 이미지: IMG_OCR_6_F_0010714.png ===
ID 1: JSON=2230363602223, EasyOCR=22 3036 36 02223
ID 2: JSON=변액보험, EasyOCR=변 액 보 험
ID 3: JSON=음하윤, EasyOCR=올 하운
ID 4: JSON=6037.9.26, EasyOCR=6037. 9.26
ID 5: JSON=나라, EasyOCR=나라
ID 6: JSON=042629-26-523318, EasyOCR=0426 29 26-5233 | 8
ID 7: JSON=904-2841-0693, EasyOCR=904-284 |- 0693
ID 8: JSON=장모, EasyOCR=장모
ID 9: JSON=전영환, EasyOCR=전영 환
ID 10: JSON=959-0457-5979, EasyOCR=59-0457-5979
ID 11: JSON=9669, EasyOCR=96 69
ID 12: JSON=4, EasyOCR=4
ID 13: JSON=26, EasyOCR=26
ID 14: JSON=사해성, EasyOCR=사해성
ID 15: JSON=교정안, EasyOCR=교 정안


=== 이미지: IMG_OCR_6_F_0011611.png ===
ID 1: JSON=근현, EasyOCR=근현
ID 2: JSON=048777-0580662, EasyOCR=048777-0580662
ID 3: JSON=926-1464-7665, EasyOCR=026- 1 464-7665
ID 4: JSON=강원도, EasyOCR=강원도
ID 5: JSON=영도구, EasyOCR=영도구
ID 6: JSON=다공리, EasyOCR=다공리
ID 7: JSON=55, EasyOCR=55
ID 8: JSON=암한영국병원, EasyOCR=암한영국병원
ID 9: JSON=5532.6.4, EasyOCR=5 532.6.4
ID 10: JSON=창백, EasyOCR=차d
ID 11: JSON=3475.4.16, EasyOCR=3475.4 | 6
ID 12: JSON=454, EasyOCR=454
ID 13: JSON=9428.9.23, EasyOCR=9428. 9.23
ID 14: JSON=5960.10.1, EasyOCR=5960. |0 |
ID 15: JSON=7777, EasyOCR=
ID 16: JSON=8, EasyOCR=8
ID 17: JSON=16, EasyOCR=6
ID 18: JSON=기지헌, EasyOCR=기지런


=== 이미지: IMG_OCR_6_F_0011614.png ===
ID 1: JSON=0726640230977, EasyOCR=0726640230977
ID 2: JSON=생존보험, EasyOCR=생존보험
ID 3: JSON=오한, EasyOCR=오한
ID 4: JSON=4097.6.7, EasyOCR=4097.6
ID 5: JSON=사회, EasyOCR=사회
ID 6: JSON=000115-39-006732, EasyOCR=000 | ( 5-39-006732
ID 7: JSON=249-3302-7614, EasyOCR=249-3302-7614
ID 8: JSON=손자, EasyOCR=손자
ID 9: JSON=남궁원영, EasyOCR=남궁원영
ID 10: JSON=946-9985-1311, EasyOCR=946-9995-| 3 | (
ID 11: JSON=1312, EasyOCR=1 3 1 2
ID 12: JSON=8, EasyOCR=9
ID 13: JSON=31, EasyOCR=3
ID 14: JSON=호도율, EasyOCR=호도움
ID 15: JSON=남궁시온, EasyOCR=남궁 시온


=== 이미지: IMG_OCR_6_F_0011814.png ===
ID 1: JSON=0746174031417, EasyOCR=0746 ( 74031 다( 7
ID 2: JSON=배상책임보험, EasyOCR=배 상책임보험
ID 3: JSON=허경숙, EasyOCR=허경 속
ID 4: JSON=4342.5.7, EasyOCR=4342. 5.7
ID 5: JSON=아름, EasyOCR=아름
ID 6: JSON=242344-12-544547, EasyOCR=242344-12-544547
ID 7: JSON=102-0731-4044, EasyOCR=02-073 (-4044
ID 8: JSON=고조모, EasyOCR=고 조모
ID 9: JSON=742-8789-6532, EasyOCR=t7 나2-87789-6632
ID 10: JSON=1608, EasyOCR=609
ID 11: JSON=1, EasyOCR=
ID 12: JSON=28, EasyOCR=28
ID 13: JSON=사솔, EasyOCR=사늘
ID 14: JSON=요나은, EasyOCR=요나은


=== 이미지: IMG_OCR_6_F_0011911.png ===
ID 1: JSON=동춘자, EasyOCR=동출 자
ID 2: JSON=420185-9085040, EasyOCR=4201 & 5 - 90 85040
ID 3: JSON=330-2905-8447, EasyOCR=320 - 2905 - 8 나42
ID 4: JSON=경상남도, EasyOCR=결 ^ k도
ID 5: JSON=미추홀구, EasyOCR=h (추볼올 구
ID 6: JSON=평내동, EasyOCR=꼬리 U 도
ID 7: JSON=135, EasyOCR=( 3}
ID 8: JSON=블유더병원, EasyOCR=볼유 더 질 원
ID 9: JSON=8389.7.16, EasyOCR=85 89
ID 10: JSON=항문농양, EasyOCR=문 낳 j8 `
ID 11: JSON=4262.10.21, EasyOCR=4U62  (0, 2
ID 12: JSON=345, EasyOCR=거나 5
ID 13: JSON=1516.10.31, EasyOCR=15 (6 10 . 31
ID 14: JSON=2096.1.10, EasyOCR=209 6 1 ( 0
ID 15: JSON=4929, EasyOCR=492 9
ID 16: JSON=7, EasyOCR=
ID 17: JSON=22, EasyOCR=
ID 18: JSON=랑서현, EasyOCR=강 서 현


=== 이미지: IMG_OCR_6_F_0012914.png ===
ID 1: JSON=9293355156267, EasyOCR=9)93355 156267
ID 2: JSON=당뇨보험, EasyOCR=당뇨 보럼
ID 3: JSON=정태리, EasyOCR=정태리
ID 4: JSON=8207.9.18, EasyOCR=8202.9- 8
ID 5: JSON=사회, EasyOCR=나호
ID 6: JSON=562822-64-250053, EasyOCR=5 6 2822-64-250053
ID 7: JSON=520-0097-2123, EasyOCR=520-6697 2123
ID 8: JSON=손녀, EasyOCR=손 벼
ID 9: JSON=묵예원, EasyOCR=묵 예원
ID 10: JSON=658-7452-9564, EasyOCR=658-2452-956Y
ID 11: JSON=8697, EasyOCR=8692
ID 12: JSON=6, EasyOCR=
ID 13: JSON=10, EasyOCR=[6
ID 14: JSON=사수환, EasyOCR=사수 환
ID 15: JSON=인시완, EasyOCR=인 시완


=== 이미지: IMG_OCR_6_F_0013014.png ===
ID 1: JSON=8496196182525, EasyOCR=049 ( 196 1 82 525
ID 2: JSON=간벙보험, EasyOCR=간방 오럼
ID 3: JSON=제미경, EasyOCR=211h 경
ID 4: JSON=7363.1.29, EasyOCR=0 3 (3. (.29
ID 5: JSON=한신, EasyOCR=a신
ID 6: JSON=226242-97-494537, EasyOCR=L26 242 - 77 49 4 53)
ID 7: JSON=500-1244-0127, EasyOCR=5- 1244 이27
ID 8: JSON=조부, EasyOCR=조녀
ID 9: JSON=송혜연, EasyOCR=승예 연
ID 10: JSON=153-3846-8876, EasyOCR=(53 3846 -8876
ID 11: JSON=3850, EasyOCR=38)0
ID 12: JSON=4, EasyOCR=
ID 13: JSON=3, EasyOCR=
ID 14: JSON=당진우, EasyOCR=답신구
ID 15: JSON=마강현, EasyOCR=마강


=== 이미지: IMG_OCR_6_F_0013114.png ===
ID 1: JSON=1663296121296, EasyOCR=[ 66 3246 12)296
ID 2: JSON=생명보험, EasyOCR=생명보 험
